PLAN,ISIN,VALOR,CUPON,FEC_VTO,VC_ACTUAL,NOM,TYPEB,SECTOR,RATING,VM,CUPON_CORRIDO,CALL,TIPO_PRODUCTO,TIR_MDO,DUR,TirContable,Frecuencia,PRECIO,EMISOR,PAIS,TIPO_CUPON,SENIORITY
u110,ES0414970303,"CAIXAB 4,50% 26/01/22",4.50,1/26/2022,"6,612,959.55","6,500,000.00",B,DDA,AA,6843525,271721.31,N,40,3.43,1.027,2.83,1.00,105.29,Caja de Ahorros y Pensiones de Barcelona,ES,Fixed excl,SENIOR SECURED
u110,ES0371622020,"TDA.4,25% 04/31",4.25,4/10/2031,"1,208,724.55","1,000,000.00",B,DDA,A-,1449100,30856.16,N,40,0.15,8.698,1.98,1.00,144.91,Cedulas TDA,ES,Fixed excl,SENIOR SECURED
u110,IT0001174611,"ITALIA6,5 11/27",6.50,11/1/2027,"1,829,341.86","1,500,000.00",B,A99,BBB-,2138805,16160.22,N,40,0.35,5.832,2.95,2.00,142.59,Italian Republic,IT,Fixed excl,SENIOR UNSECURED
u110,ES00000121G2,"ESTADO4,8 01/24",4.80,1/31/2024,"9,880,371.43","9,725,000.00",B,A99,BBB+,11338280.25,427262.3,N,40,0.78,2.843,4.23,1.00,116.59,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u110,ES00000121S7,"ESTADO4,7 07/41",4.70,7/30/2041,"21,208,403.09","20,000,000.00",B,A99,BBB+,35842000,396602.74,N,40,0.67,15.564,4.25,1.00,179.21,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u110,ES00000122E5,"ESTADO4,65 0725",4.65,7/30/2025,"9,731,347.08","9,630,000.00",B,A99,BBB+,11905280.1,188932.68,N,40,-0.07,4.205,4.38,1.00,123.63,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u110,ES00000120N0,"ESTADO4,9 07/40",4.90,7/30/2040,"9,052,220.62","6,500,000.00",B,A99,BBB+,11757525,134380.82,N,40,0.61,14.834,2.37,1.00,180.89,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u110,XS0599993622,ICO 6 03/21,6.00,3/8/2021,"7,996,558.43","8,000,000.00",B,BAA,A-,8089600,391890.41,N,40,29.27,0.181,6.09,1.00,101.12,Instituto de Cr馘ito Oficial,ES,Fixed excl,SENIOR UNSECURED
u110,ES00000123C7,"ESTADO5,9 07/26",5.90,7/30/2026,"9,503,889.87","9,480,000.00",B,A99,BBB+,12832033.2,235987.07,N,40,0.01,4.933,5.84,1.00,135.36,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u110,ES0378641023,"FADE5,9 03/21",5.90,3/17/2021,"9,993,321.58","10,000,000.00",B,BAA,A-,10123300,467150.68,N,40,24.17,0.205,6.09,1.00,101.23,FADE - Fondo de Amortizacion,ES,Fixed excl,SENIOR UNSECURED
u110,ES0378641080,"FADE6,25 03/25",6.25,3/17/2025,"2,991,607.56","3,000,000.00",B,BAA,A,3828450,148458.9,N,40,0.76,3.737,6.32,1.00,127.62,FADE - Fondo de Amortizacion,ES,Fixed excl,SENIOR UNSECURED
u110,ES0413900129,BSCH3.875 02/26,3.88,2/6/2026,"12,934,091.60","11,500,000.00",B,DDA,AA,14044375,400575.48,N,40,0.20,4.636,1.33,1.00,122.13,Banco Santander SA,ES,Fixed excl,SENIOR SECURED
u110,ES0413211121,"BBVA 3,5% 24/01/2021",3.50,1/24/2021,"4,595,695.62","4,600,000.00",B,DDA,AA+,4610120,150442.62,N,40,60.23,0.066,4.68,1.00,100.22,Banco Bilbao Vizcaya Argentaria SA,ES,Fixed excl,SENIOR SECURED
u110,ES0413900160,"BSCH 4,625% 04/05/2027",4.63,5/4/2027,"26,310,436.19","26,700,000.00",B,DDA,AA,35269365,815355.82,N,40,0.04,5.616,4.89,1.00,132.10,Banco Santander SA,ES,Fixed excl,SENIOR SECURED
u110,FR0011337880,"FRANCE 2,25% 25/10/2022",2.25,10/25/2022,"999,449.54","1,000,000.00",B,A99,AA,1054150,4130.14,N,40,-0.48,1.792,2.28,1.00,105.42,French Republic,FR,Fixed excl,SENIOR UNSECURED
u110,XS0486101024,"TITIM 5,25% 10/02/2022",5.25,2/10/2022,"1,008,088.57","1,000,000.00",B,CAH,BB+,1057440,46618.85,N,40,4.22,1.062,4.48,1.00,105.74,Telecom Italia SpA,IT,Fixed excl,SENIOR UNSECURED
u110,XS0876289652,REESM 3.875% 25/01/2022,3.88,1/25/2022,"2,008,096.16","2,000,000.00",B,CBA,A-,2083940,72206.28,N,40,3.30,1.03,3.48,1.00,104.20,REDESA,ES,Fixed excl,SENIOR UNSECURED
u110,XS0879869187,"IBERDROLA 3,5% 01/01/2021",3.50,2/1/2021,"1,999,631.78","2,000,000.00",B,CBA,BBB+,2005520,63879.78,N,40,43.61,0.085,3.66,1.00,100.28,Iberdrola SA,NL,Fixed excl,SENIOR UNSECURED
u110,XS0883560715,"BASF SE 1,875% 04/02/2021",1.88,2/4/2021,"600,763.45","600,000.00",B,CAA,A,601020,10174.18,N,40,19.30,0.093,0.54,1.00,100.17,BASF SE,DE,Fixed excl,SENIOR UNSECURED
u110,FR0011388339,"CRH 2,4% 17/01/2025",2.40,1/17/2025,"1,988,927.01","2,000,000.00",B,DDA,AAA,2234520,45770.49,N,40,0.06,3.835,2.55,1.00,111.73,Caisse Refinancement de lHabitat,FR,Fixed excl,SENIOR SECURED
u110,XS0767278301,TKA 4% 04/04/2022,4.00,4/4/2022,"1,294,164.54","1,250,000.00",B,CAH,BBB+,1315162.5,37123.29,N,40,2.17,1.218,1.15,1.00,105.21,Telekom Finanzmanagement GmbH,AT,Fixed excl,SENIOR UNSECURED
u110,FR0011508332,"ACA 1,875% 07/06/2023",1.88,6/7/2023,"997,391.56","1,000,000.00",B,DDB,AAA,1058130,10633.56,N,40,-0.07,2.377,1.98,1.00,105.81,Credit Agricole SA,GB,Fixed excl,SENIOR SECURED
u110,XS0940284937,"FERROVIAL 3,375% 07/06/2021",3.38,6/7/2021,"3,702,797.46","3,700,000.00",B,CAZ,BBB,3751726,70819.52,N,40,4.56,0.43,3.17,1.00,101.40,FERROVIAL EMISIONES,ES,Fixed excl,SENIOR UNSECURED
u110,ES00000123X3,"SPGB 4,4% 31/10/2023",4.40,10/31/2023,"33,318,715.31","32,000,000.00",B,A99,BBB+,36523520,235309.59,N,40,-0.30,2.715,2.86,1.00,114.14,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u110,FR0011521319,CAISSE AMORT DET CADES 2.375 25/01/2024,2.38,1/25/2024,"5,981,821.11","6,000,000.00",B,BAA,AA,6540300,132766.39,N,40,0.15,2.937,2.48,1.00,109.01,Caisse dAmortissement Dette Sociale,FR,Fixed excl,SENIOR UNSECURED
u110,ES00000123U9,"SPGB 5,4% 31/01/2023",5.40,1/31/2023,"4,343,769.56","4,000,000.00",B,A99,BBB+,4499680,197704.92,N,40,1.68,1.944,1.20,1.00,112.49,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u110,XS0975256685,"REPSOL 3,625% 07/10/2021",3.63,10/7/2021,"4,026,514.45","4,000,000.00",B,CAE,BBB,4118040,33767.12,N,40,0.85,0.764,2.73,1.00,102.95,Repsol International Finance BV,NL,Fixed excl,SENIOR UNSECURED
u110,ES00000124W3,"SPGB 3,8% 30/04/2024",3.80,4/30/2024,"1,554,183.21","1,405,000.00",B,A99,BBB+,1609624.2,35837.12,N,40,0.18,3.133,0.57,1.00,114.56,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u110,IT0004992878,UBI BANCA 3.125% 05/02/2024,3.13,2/5/2024,"1,299,959.69","1,300,000.00",B,DDA,AA-,1443286,36629.1,N,40,0.45,2.931,3.12,1.00,111.02,Unione di Banche Italiane SCPA,IT,Fixed excl,SENIOR SECURED
u110,IT0004992787,ISPIM 3.25% 10/02/2026,3.25,2/10/2026,"1,799,729.49","1,800,000.00",B,DDA,AA-,2141424,51946.72,N,40,0.09,4.71,3.25,1.00,118.97,Intesa Sanpaolo SpA,IT,Fixed excl,SENIOR SECURED
u110,IT0004889033,"BTPS 4,75% 01/09/2028",4.75,9/1/2028,"28,811,381.84","26,600,000.00",B,A99,BBB-,35548506,422330.11,N,40,0.49,6.651,3.53,2.00,133.64,Italian Republic,IT,Fixed excl,SENIOR UNSECURED
u110,XS1052843908,"ENAG2,50 04/22",2.50,4/11/2022,"999,560.05","1,000,000.00",B,CBB,BBB+,1034050,18082.19,N,40,1.23,1.25,2.53,1.00,103.41,ENAGAS,ES,Fixed excl,SENIOR UNSECURED
u110,ES0413211816,BBVA 2.25% 12/06/2024,2.25,6/12/2024,"1,995,337.09","2,000,000.00",B,DDA,AA+,2184640,24904.11,N,40,-0.06,3.324,2.32,1.00,109.23,Banco Bilbao Vizcaya Argentaria SA,ES,Fixed excl,SENIOR SECURED
u110,XS0999667263,"TKAAV 3,125 03/12/21",3.13,12/3/2021,"2,545,621.29","2,500,000.00",B,CAH,BBB+,2577525,5993.15,N,40,0.03,0.921,1.13,1.00,103.10,Telekom Finanzmanagement GmbH,AT,Fixed excl,SENIOR UNSECURED
u110,XS1090450047,"NETGAS 2,5 28/07/21",2.50,7/28/2021,"864,507.21","860,000.00",B,CBB,BBB,869804,9189.04,N,40,2.36,0.57,1.57,1.00,101.14,NETGAS,CZ,Fixed excl,SENIOR UNSECURED
u110,XS1171541813,"IBESM 1,125 01/23",1.13,1/27/2023,"998,463.06","1,000,000.00",B,CBA,BBB+,1027330,10420.08,N,40,0.31,2.039,1.20,1.00,102.73,Iberdrola SA,NL,Fixed excl,SENIOR UNSECURED
u110,XS1141969912,"SKYLN 1,875 24/11/23",1.88,11/24/2023,"4,038,183.60","4,000,000.00",B,CAH,A-,4234440,7602.74,N,40,-0.08,2.843,1.54,1.00,105.86,SKY PLC,GB,Fixed excl,SENIOR UNSECURED
u110,XS1190973559,"BP CAP1,109 02/2023",1.11,2/16/2023,"2,000,033.24","2,000,000.00",B,CAE,A,2057840,19331.75,N,40,0.20,2.094,1.11,1.00,102.89,BP CAPITAL MARKETS PLC,GB,Fixed excl,SENIOR UNSECURED
u110,DE000A1PGWA5,"DAIGR 2,375 12/09/22",2.38,9/12/2022,"1,028,657.78","1,000,000.00",B,CAC,BBB+,1043390,7157.53,N,40,0.23,1.673,0.67,1.00,104.34,DAIMLER AG,DE,Fixed excl,SENIOR UNSECURED
u110,XS1188094673,"NGGLN 0,75 02/22",0.75,2/11/2022,"999,400.32","1,000,000.00",B,CBB,BBB+,1009910,6639.34,N,40,0.46,1.105,0.80,1.00,100.99,NATIONAL GRID NA INC,US,Fixed excl,SENIOR UNSECURED
u110,XS1015217703,"BMW 2,625 17/01/24",2.63,1/17/2024,"4,217,937.39","4,000,000.00",B,CAC,A,4334560,100122.95,N,40,0.67,2.903,0.81,1.00,108.36,BMW Finance NV,NL,Fixed excl,SENIOR UNSECURED
u110,FR0011560077,"ORAFP 3,125 09/01/24",3.13,1/9/2024,"1,062,468.33","1,000,000.00",B,CAH,BBB+,1099010,30481.56,N,40,0.82,2.857,1.02,1.00,109.90,ORANGE,FR,Fixed excl,SENIOR UNSECURED
u110,XS0525602339,"RABOBK 4,125 14/07/25",4.13,7/14/2025,"447,222.84","400,000.00",B,CCA,AA-,477704,7684.93,N,40,0.24,4.196,1.42,1.00,119.43,Rabobank Nederland NV,NL,Fixed excl,SENIOR UNSECURED
u110,ES00000127A2,"ESTADO 1,95 07/30",1.95,7/30/2030,"12,362,384.70","10,665,000.00",B,A99,BBB+,12652102.8,87745.19,N,40,0.08,8.854,0.26,1.00,118.63,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u110,XS1028421383,"ACAFP 3,125 05/02/26",3.13,2/5/2026,"429,434.30","400,000.00",B,CCA,AA-,466192,11270.49,N,40,0.40,4.71,1.61,1.00,116.55,Credit Agricole SA/London,GB,Fixed excl,SENIOR UNSECURED
u110,XS1115208107,"MS 1,875 30/03/23",1.88,3/30/2023,"808,700.64","800,000.00",B,CCA,A,836560,11342.47,N,40,0.46,2.188,1.38,1.00,104.57,Morgan Stanley,US,Fixed excl,SENIOR UNSECURED
u110,XS1173845436,"GS 1,375 26/07/22",1.38,7/26/2022,"904,419.13","900,000.00",B,CCA,A-,922725,5356.85,N,40,0.14,1.551,1.06,1.00,102.53,Goldman Sachs Group Inc/The,US,Fixed excl,SENIOR UNSECURED
u110,XS1078218218,SANDSS 3 18/06/26,3.00,6/18/2026,"514,709.52","500,000.00",B,CAB,A-,577415,8054.79,N,40,0.43,5.087,2.42,1.00,115.48,SANDVIK SA,SE,Fixed excl,SENIOR UNSECURED
u110,XS1040506898,"BP 2,972 27/02/26",2.97,2/27/2026,"746,969.38","700,000.00",B,CAE,A,805693,17507.19,N,40,0.49,4.786,1.61,1.00,115.10,BP CAPITAL MARKETS PLC,GB,Fixed excl,SENIOR UNSECURED
u110,XS1004874621,"AEMSPA 3,625 13/01/22",3.63,1/13/2022,"1,537,485.66","1,500,000.00",B,CBA,BBB,1557885,52443.65,N,40,3.26,0.999,1.18,1.00,103.86,A2A SpA,IT,Fixed excl,SENIOR UNSECURED
u110,DE000A1ZZ010,"BMW US CAP 0,625 20/22",0.63,4/20/2022,"497,299.67","500,000.00",B,CAC,A,505745,2183.22,N,40,0.08,1.292,1.04,1.00,101.15,BMW US Capital LLC,DE,Fixed excl,SENIOR UNSECURED
u110,XS1017833242,"BASF 2,5 22/01/24",2.50,10/22/2023,"416,726.58","400,000.00",B,CAA,A,430208,9398.91,N,40,0.62,2.69,0.98,1.00,107.55,BASF SE,DE,Fixed excl,SENIOR UNSECURED
u110,BE0000331406,"BGB 3,75 22/06/2045",3.75,6/22/2045,"1,108,295.28","800,000.00",B,A99,AA-,1468608,15780.82,N,40,0.29,18.61,1.79,1.00,183.58,Kingdom of Belgium,BE,Fixed excl,SENIOR UNSECURED
u110,BE0000335449,"BGB 1,0 22/06/2031",1.00,6/22/2031,"9,319,916.18","10,000,000.00",B,A99,AA-,11409000,52602.74,N,40,-0.27,9.988,1.71,1.00,114.09,Kingdom of Belgium,BE,Fixed excl,SENIOR UNSECURED
u110,DE000A1ZZ028,"BMW 1,0 20/04/2027",1.00,4/20/2027,"809,246.88","850,000.00",B,CAC,A,904434,5938.36,N,40,0.09,6.108,1.81,1.00,106.40,BMW US Capital LLC,DE,Fixed excl,SENIOR UNSECURED
u110,FR0012146801,"SANFP 1,75 10/09/26",1.75,6/10/2026,"996,497.43","1,000,000.00",B,CAD,A+,1109430,5369.86,N,40,-0.15,5.226,1.82,1.00,110.94,SANOFI,FR,Fixed excl,SENIOR UNSECURED
u110,XS0827999318,"ORAFP 2,5 03/23",2.50,3/1/2023,"818,073.56","800,000.00",B,CAH,BBB+,847056,16712.33,N,40,0.73,2.092,1.43,1.00,105.88,ORANGE,FR,Fixed excl,SENIOR UNSECURED
u110,XS1292468045,"SHELL 1,875 1,875 15/09/25",1.88,9/15/2025,"208,590.66","200,000.00",B,CAE,AA-,219578,1099.32,N,40,-0.08,4.537,0.94,1.00,109.79,Shell International Finance BV,NL,Fixed excl,SENIOR UNSECURED
u110,XS1309518998,"DEUTSCHE BAHN 1,25% 23/10/2025",1.25,10/23/2025,"1,990,266.92","2,000,000.00",B,CAG,AA,2141220,4726.03,N,40,-0.16,4.695,1.35,1.00,107.06,Deutsche Bahn Finance BV,DE,Fixed excl,SENIOR UNSECURED
u110,XS1197832915,"COCA COLA 0,75% 09032023",0.75,12/9/2022,"642,625.98","640,000.00",B,CAD,A+,651660.8,3905.75,N,40,0.12,1.919,0.54,1.00,101.82,COCA COLA CO,US,Fixed excl,SENIOR UNSECURED
u110,ES0224261042,"CORES 1,5% 27.11.2022",1.50,11/27/2022,"998,000.64","1,000,000.00",B,BAC,A-,1034700,1397.26,N,40,-0.24,1.892,1.60,1.00,103.47,Cores,ES,Fixed excl,SENIOR UNSECURED
u110,XS1237271421,"MCDONALD'S CORP 1,875% 26.05.2027",1.88,5/26/2027,"398,945.06","400,000.00",B,CAD,BBB+,444792,4500,N,40,0.28,6.057,1.92,1.00,111.20,McDonalds Group,US,Fixed excl,SENIOR UNSECURED
u110,XS0306646042,"ENEL_SPA 5,625% 21.06.2027",5.63,6/21/2027,"309,849.16","250,000.00",B,CBA,BBB+,338920,7435.79,N,40,0.49,5.635,1.69,1.00,135.57,Enel SpA,IT,Fixed excl,SENIOR UNSECURED
u110,XS0989148209,"PROCTER & GAMBLE 2,0 5/11/2021",2.00,11/5/2021,"202,330.66","200,000.00",B,CAD,AA-,203966,613.7,N,40,0.02,0.844,0.61,1.00,101.98,Procter & Gamble Co,US,Fixed excl,SENIOR UNSECURED
u110,FR0011075043,"TRANSPORT ET INFRASTRUCTURE GF 4,339 7/07/2021",4.34,7/7/2021,"508,091.96","500,000.00",B,CBA,BBB,510920,10520.59,N,40,4.14,0.512,1.16,1.00,102.18,Transport Infra Gaz FR - TEREGA,FR,Fixed excl,SENIOR UNSECURED
u110,XS1290850707,"BANK OF AMERICA CORP 1,625% 14.09.2022",1.63,9/14/2022,"452,738.04","450,000.00",B,CCA,A,464197.5,2163.7,N,40,0.05,1.686,1.26,1.00,103.16,BANK OF AMERICA,US,Fixed excl,SENIOR UNSECURED
u110,XS1178105851,"TERNA SPA 0,875% 02.02.2022",0.88,2/2/2022,"599,579.78","600,000.00",B,CBA,BBB+,607344,4776.64,N,40,0.48,1.079,0.94,1.00,101.22,Terna Rete Elettrica Nazionale SpA,IT,Fixed excl,SENIOR UNSECURED
u110,BE6243179650,"ANHEUSER-BUSCH  2,875% 25.09.2024",2.88,9/25/2024,"788,733.85","750,000.00",B,CAD,BBB+,832057.5,5730.31,N,40,0.14,3.581,1.44,1.00,110.94, ANHEUSER-BUSCH INBEV SA,BE,Fixed excl,SENIOR UNSECURED
u110,ES0200002014,"ADIF ALTA VELOCIDAD 1,875% 22.09.2022",1.88,9/22/2022,"3,027,697.12","3,000,000.00",B,BAC,BBB,3115050,15410.96,N,40,-0.05,1.705,1.33,1.00,103.84,ADIF ALTA VELOCIDAD,ES,Fixed excl,SENIOR UNSECURED
u110,XS0972530561,"ASML HOLDING NV  3,375% 19.09.2023",3.38,9/19/2023,"525,853.14","500,000.00",B,CAD,A-,548955,4761.99,N,40,0.12,2.624,1.42,1.00,109.79,ASML Holding N.V.,NL,Fixed excl,SENIOR UNSECURED
u110,IT0005156044,"INTESA SAN PAOLO SPA 1,375% 18.12.2025",1.38,12/18/2025,"2,988,501.93","3,000,000.00",B,DDA,AA-,3268800,1469.18,N,40,-0.40,4.837,1.46,1.00,108.96,Intesa Sanpaolo SpA,IT,Fixed excl,SENIOR SECURED
u110,ES0413320062,"DEUTSCHE_ESPAﾑOLA 1,125% 20.01.2023",1.13,1/20/2023,"1,996,798.35","2,000,000.00",B,DDA,AA+,2059120,21270.49,N,40,0.20,2.02,1.20,1.00,102.96,DEUTSCHE BANK S.A. ESPANOLA,ES,Fixed excl,SENIOR SECURED
u110,XS0752092311,"KONINKLIJKE KPN 4,25% 1/03/2022",4.25,3/1/2022,"935,854.78","900,000.00",B,CAH,BBB,941517,31892.37,N,40,3.30,1.123,0.80,1.00,104.61,KONINKLIJKE KPN NV,NL,Fixed excl,SENIOR UNSECURED
u110,XS1375956569,"BP CAPITAL MARKETS PLC 1,373% 03.03.2022",1.37,3/3/2022,"506,315.25","500,000.00",B,CAE,A,509675,5698.89,N,40,0.69,1.154,0.29,1.00,101.94,BP CAPITAL MARKETS PLC,GB,Fixed excl,SENIOR UNSECURED
u110,ES00000128C6,"ESTADO 2,9% 31.10.2046",2.90,10/31/2046,"7,690,457.93","7,500,000.00",B,A99,BBB+,11240250,36349.32,N,40,0.78,20.408,2.76,1.00,149.87,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u110,XS1346872580,"MONDELEZ INTERN 1,625% 20.01.2023",1.63,1/20/2023,"810,818.48","800,000.00",B,CAD,BBB,827336,12289.62,N,40,0.70,2.006,0.96,1.00,103.42,Mondelez International,US,Fixed excl,SENIOR UNSECURED
u110,XS1402921412,"JP Morgan 1,5% 29/10/2026",1.50,10/29/2026,"1,400,801.65","1,300,000.00",B,CCA,A,1413620,3365.75,N,40,0.04,5.624,0.16,1.00,108.74,JPMorgan Chase & Co,US,Fixed excl,SENIOR UNSECURED
u110,XS1411405662,"SHELL_INTF 0,75% 12/05/2024",0.75,5/12/2024,"599,731.49","600,000.00",B,CAE,AA-,619656,2872.6,N,40,-0.08,3.321,0.76,1.00,103.28,Shell International Finance BV,NL,Fixed excl,SENIOR UNSECURED
u110,XS1425966287,"ENEL FINANCE INTL NV 1,375% 01/06/2026",1.38,6/1/2026,"2,601,737.20","2,619,000.00",B,CBA,BBB+,2811260.79,21014.78,N,40,0.16,5.229,1.50,1.00,107.34,ENEL FINANCE INTL NV,NL,Fixed excl,SENIOR UNSECURED
u110,XS1476654238,SHELL 0.375 15/02/20125,0.38,2/15/2025,"1,998,520.87","2,000,000.00",B,CAE,AA-,2047300,6557.38,N,40,-0.12,4.095,0.39,1.00,102.37,Shell International Finance BV,NL,Fixed excl,SENIOR UNSECURED
u110,FR0013201639,"SANOFI 0,5 13/01/2027",0.50,10/13/2026,"996,852.54","1,000,000.00",B,CAD,A+,1042450,4822.4,N,40,-0.15,5.691,0.56,1.00,104.25,SANOFI,FR,Fixed excl,SENIOR UNSECURED
u110,XS1492671158,"BP CM 0,83% 19/09/2024",0.83,6/19/2024,"1,000,080.73","1,000,000.00",B,CAE,A,1031390,2342.19,Y,40,-0.01,3.424,0.83,1.00,103.14,BP CAPITAL MARKETS PLC,GB,Fixed excl,SENIOR UNSECURED
u110,XS1508912646,"ACEA SPA 1,0% 24/10/2026",1.00,7/24/2026,"544,818.46","550,000.00",B,CBA,BBB,574552,1024.66,N,40,0.23,5.433,1.18,1.00,104.46,ACEA SPA,IT,Fixed excl,SENIOR UNSECURED
u110,FR0013216918,"DANONE SA 0,709% 03/11/24",0.71,8/3/2024,"2,000,066.09","2,000,000.00",B,CAD,BBB+,2070540,2253.26,N,40,-0.24,3.559,0.71,1.00,103.53,Groupe Danone SA,FR,Fixed excl,SENIOR UNSECURED
u110,ES0413211915,"BANCO BILBAO VIZCAYA ARG 0,625% 22/11/2026",0.88,11/22/2026,"4,980,472.81","5,000,000.00",B,DDA,AA+,5360400,4674.66,N,40,-0.32,5.773,0.94,1.00,107.21,Banco Bilbao Vizcaya Argentaria SA,ES,Fixed excl,SENIOR SECURED
u110,XS1555402145,"SNAM SPA 1,25% 25/01/2025",1.25,1/25/2025,"997,378.61","1,000,000.00",B,CAE,BBB+,1058840,11646.17,N,40,0.09,3.958,1.31,1.00,105.88,SNAM SPA,IT,Fixed excl,SENIOR UNSECURED
u110,ES00000128Q6,SPGB 2.35% 30/07/33,2.35,7/30/2033,"3,659,631.76","2,960,000.00",B,A99,BBB+,3737236.8,29348.6,N,40,0.30,11.187,0.42,1.00,126.26,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u110,XS1588061777,"SNCF 1,875% 30/03/34",1.88,3/30/2034,"997,007.49","1,000,000.00",B,BAB,AA,1227410,14178.08,N,40,0.24,11.899,1.90,1.00,122.74,Societe Nationale des Chemins de Fer Fra,FR,Fixed excl,SENIOR UNSECURED
u110,XS1596739364,"MRDGF 1,375% 11/04/2025",1.38,1/11/2025,"998,283.22","1,000,000.00",B,CBZ,BBB-,1030740,9945.21,N,40,0.85,3.92,1.42,1.00,103.07,MADRIDLENA RED DE GAS FIN,ES,Fixed excl,SENIOR UNSECURED
u110,EU000A1G0DT0,EFSF 1.25% 24/05/33,1.25,5/24/2033,"992,078.00","1,000,000.00",B,BD9,AA,1189300,7568.49,N,40,-0.20,11.564,1.32,1.00,118.93,European Financial Stability F,LU,Fixed excl,SENIOR UNSECURED
u110,XS1619312686,"AAPL 1,375% 24/05/2029",1.38,2/24/2029,"995,672.79","1,000,000.00",B,CAH,AA+,1111910,8325.34,N,40,0.10,7.746,1.43,1.00,111.19,APPLE INC,US,Fixed excl,SENIOR UNSECURED
u110,IT0005240350,BTPS 2.45% 01/09/33,2.45,9/1/2033,"5,199,397.86","5,200,000.00",B,A99,BBB-,6265688,42583.98,N,40,0.81,11.167,2.47,2.00,120.49,Italian Republic,IT,Fixed excl,SENIOR UNSECURED
u110,ES0440609347,CABKSM 1.625%  14/07/32,1.63,7/14/2032,"990,309.40","1,000,000.00",B,DDA,AA,1190970,7568.49,N,40,0.03,10.647,1.72,1.00,119.10,Caja de Ahorros y Pensiones de Barcelona,ES,Fixed excl,SENIOR SECURED
u110,ES00000124H4,"SPGB 5,15% 31/10/44",5.15,10/31/2044,"2,982,979.26","2,005,000.00",B,A99,BBB+,3963283.5,17256.73,N,40,0.72,17.415,2.43,1.00,197.67,Kingdom of Spain,ES,Fixed excl,SENIOR UNSECURED
u110,FR0013284247,"ENGIFP0,375% 28/02/23",0.38,11/28/2022,"2,495,902.61","2,500,000.00",B,CBA,BBB+,2527375,7863.73,N,40,-0.03,1.898,0.46,1.00,101.10,GDF_SUEZ,FR,Fixed excl,SENIOR UNSECURED
u110,XS1691781865,"HEIA 1,50% 03/10/29",1.50,7/3/2029,"2,482,606.65","2,500,000.00",B,CAD,BBB+,2793925,9143.84,N,40,0.15,8.062,1.59,1.00,111.76,HEINEKEN NV,NL,Fixed excl,SENIOR UNSECURED
u110,XS1718480327,UPS 0.375% 15/11/23,0.38,9/15/2023,"1,997,224.96","2,000,000.00",B,CAG,A-,2032540,945.21,N,40,-0.21,2.694,0.43,1.00,101.63,UNITED PARCEL SERVICES,US,Fixed excl,SENIOR UNSECURED
u110,ES0378641312,"FADE 0,50% 17/03/2023",0.50,3/17/2023,"3,492,986.66","3,500,000.00",B,BAA,A-,3571505,13856.16,N,40,-0.24,2.191,0.59,1.00,102.04,FADE - Fondo de Amortizacion,ES,Fixed excl,SENIOR SECURED
u110,FR0013324332,"SANOFI 0,5 21/03/2023",0.50,3/21/2023,"999,209.12","1,000,000.00",B,CAD,A+,1016560,3904.11,N,40,-0.07,2.202,0.54,1.00,101.66,SANOFI,FR,Fixed excl,SENIOR UNSECURED
u110,EU000A1Z99F0,"ESM 0,75 05/08/2028",0.75,9/5/2028,"6,003,835.96","6,000,000.00",B,BD9,AAA,6573720,14424.66,N,40,-0.44,7.487,0.74,1.00,109.56,EURO STABILITY MECHANISM,LU,Fixed excl,SENIOR UNSECURED
u110,FR0013383346,"BPCE SFH 0,75% 27/11/2026",0.75,11/27/2026,"1,991,295.71","2,000,000.00",B,DDA,AAA,2138380,1397.26,N,40,-0.39,5.801,0.83,1.00,106.92,BPCE SA,FR,Fixed excl,SENIOR SECURED
u110,FR0013244415,OSEOFI 0.75% 25/11/2024,0.75,11/25/2024,"4,053,663.50","4,000,000.00",B,BAA,AA,4182680,2958.9,N,40,-0.39,3.858,0.40,1.00,104.57,BPIFRANCE FINANCEMENT SA,FR,Fixed excl,SENIOR UNSECURED
u110,XS1807469199,BNG 0.5% 16.04.2025,0.50,4/16/2025,"5,021,406.54","5,000,000.00",B,BAB,AAA,5216200,17739.73,N,40,-0.41,4.242,0.40,1.00,104.32,Bank Nederlandse Gemeenten,NL,Fixed excl,SENIOR UNSECURED
u110,XS1944456018,"IBM 0,375% 31/01/2023",0.38,1/31/2023,"2,993,123.95","3,000,000.00",B,CAF,A,3035310,10297.13,N,40,-0.02,2.071,0.49,1.00,101.18,International Business Machines Corp,US,Fixed excl,SENIOR UNSECURED
u110,XS1944456109,"IBM 0,875% 31/01/2025",0.88,1/31/2025,"1,992,010.39","2,000,000.00",B,CAF,A,2084500,16017.76,N,40,0.04,4.002,0.98,1.00,104.23,International Business Machines Corp,US,Fixed excl,SENIOR UNSECURED
